,asuult,angilal,on
,Тестрээр эсэргүүцлийг ямар гүйдлийн хэлхээнд хэмжихийг хэлнэ үү.,Сэргээн санах,1
,Тогтмол хүчдлийг хугацааны интервалд хувиргах аналог тоон хувиргуурын хувиргалтын  тэгшитгэлийг сонгоно уу.,Сэргээн санах,1
,Аналог тоон хувиргуурын зөв тодорхойломжийг сонгоно уу.,Сэргээн санах,1
,Осциллографын Х оролтонд өгөгдсөн дохиог ямар дэлгэлтүүдээр тодорхойлох боломжтойг нэрлэнэ үү.  ,Сэргээн санах,1
,Вольтметрийн оролтын хувийн эсэргүүцлийг илэрхийлнэ үү. ,Сэргээн санах,1
,Хэмжилтийн механизмаар гүйдэл хэмжиж болох эсэхийг хэлнэ үү. ,Сэргээн санах,1
,Хэмжилтийн механизмыг вольтметрт хэрэглэсэн үед тогтмол  хүчдлийг яаж хэмжих вэ?,Сэргээн санах,1
,Осциллографын У сувгийн тодорхойломжуудыг нэрлэнэ үү.,Сэргээн санах,1
,Хэмжилтийн механизм ямар параметрээр тодорхойлогдохыг илэрхийлнэ үү.,Сэргээн санах,1
,Осциллографийн синусоид дэлгэлтийн үеийн дэлгэлтийн хүчдлийн  хэлбэрийг сонгоно уу. ,Сэргээн санах,1
,Амперметрийн шунтын эсэргүүцэл ямар үүрэгтэй вэ? ,Сэргээн санах,1
,Зүүн заагчтай фазометр нь фазыг хэмжих ямар арга дээр үндэслэгдснийг тодорхойлно уу. ,Сэргээн санах,1
,Хэмжилтийн механизмын хөдөлгөөнтэй хэсэгт тайван байдлын  момент ямар үүрэгтэй үйлчлэх вэ?,Сэргээн санах,1
,Ваттметр ямар зарчимд үндэслэгдсэн бэ?,Сэргээн санах,1
,Тоон аналог хувиргуурын гаралтанд ямар хэмжигдэхүүн тодорхойлогдох вэ?  ,Сэргээн санах,1
,Вольтметрийн аргаар эсэргүүцэл хэмжих тооцооны томъѐог сонго. ,Сэргээн санах,1
,Хэмжигдэхүүний нарийвчлалын зэргийг алдааны ямар хэмжигдэхүүнээр тодорхойлвол оновчтойг хэлнэ үү.,Сэргээн санах,1
,Давтамж хэмжигч дискрет тооллын аргад тохирсон оновчтой   тодорхойлолтыг  сонго.,Сэргээн санах,1
,Цифрийн частотомерийн кварцан генераторийн давтамж 1Мгц байх үед Т=1мкс байна. Энэ үед тоолуурт 5 импульс тоологдсон бол fх-г тодорхойлно уу.,ойлгох,2
,Осциллографын Y сувгийн мэдрэх чадварын илэрхийллийг тодорхойлно уу.,ойлгох,2
,IИ=0.1A болон RИ=0.6 Ом хэмжээтэй 0-15А хэмжих амперметрийн шунтын эсэргүүцлийг бодож гаргана уу,ойлгох,2
,fкв=106Гц     N=105    байхад      Tx –г тодорхойлно уу.,ойлгох,2
,Омметрээр цуваа холбогдсон R1=36Ω±5% ба R2=75Ω±5% эсэргүүцлүүдийг хэмжсэн. Хэмжилтийн үр дүнд гарах нийт эсэргүүцлийн хэмжээг тодорхойлно уу.,ойлгох,2
,Хоѐр хэмжигдэхүүний утга 131±5 ба 629±3. Эдгээр хэмжигдэхүүний утгуудын нийлбэрийг тодорхойлно уу.,ойлгох,2
,Давтамжийн хувиргалттай АТХ-ийн С дээрх хүчдлийн зөв утгыг  тодорхойлно уу. ,ойлгох,2
,IИ=0.1A болон RИ=0.7 Ом хэмжээтэй 0-20А хэмжих амперметрийн шунтын эсэргүүцлийг бодож гаргана уу.,ойлгох,2
,A=150±10 ба B=100±5 хэмжээтэй. А хэмжигдэхүүний утга дээр B хэмжигдэхүүнийг нэмэхэд гарах үр дүнгийн алдааны хувийг тодорхойлно уу.,ойлгох,2
,mA IИ 1 .0 кОм RИ 1   байхад вольтметрийн оролтын хувийн эсэргүүцлийн утгыг зөв тодорхойлно уу.,ойлгох,2
,"Өгөгдсөн хүчдлийн утгуудыг хэмжих олон хязгаартай вольтметрийн тооцоог хийн, тооцооны үр дүнгээр схемийг загварчлах,  мөн оролтын эсэргүүцлийг оролтын хувийн эсэргүүцэл ашиглан тооцоолно уу. ",ойлгох,2
,2B-ийн үйлчлэх утга бүхий хувьсах хүчдлийг осциллографын шугаман дэлгэлтээр дэлгэж  Um  ба  fX  -г тодорхойлно уу. Үүнд:,ойлгох,2
,"Загвар давтамж fобр=1Кгц, хэмжих давтамж fx=2Кгц давтамжтай дохионуудыг синусоид дэлгэлтээр дэлгэж, дэлгэлтийг графикаар харуулж  давтамжийн харьцааг тодорхойлно уу.",ойлгох,2
,"Электрон осциллоскопын Х, Y оролтонд өгөгдсөн дохионуудын агууриг, давтамжийн утгууд нь тэнцүү. Энэ үеийн Лиссажугийн дүрс нь эллипс байх бол X, Y оролтонд өгөгдсөн дохионуудын фазын зөрүүг тодорхойлно уу. ",ойлгох,2
,Цагираг дэлгэлтийн үед             осциллограммаас давтамжийг                           тодорхойлно уу.,ойлгох,2
,"Дохионы үеийг хэмжихэд fКВ=106 Гц, N=105, Tx=0.1c, үед fx хэд болохыг тодорхойлно уу.",ойлгох,2
,"Тасалдсан тооллын аргаар давтамж хэмжихэд T=1Мкс, N=10 үед  fx  хэд байхын тодорхойлно уу.",ойлгох,2
,"V1 дохио X оролтонд, V2 дохио Y оролтонд өгөгдсөн. Тэдгээрийн мэдрэх чадвар нь 0.1V/cm 0.2V/cm бол:",ойлгох,2
,Хүснэгтийг бөглө. (тохируулах) ,ойлгох,2
,"АМ дохионоос мэдээллийн дохиог сэргээх блок схемийн 1, 2, 3  цэг дээрх дохионы спектрийг ол. (тохируулах)",ойлгох,2
,"Давтамжийн модуляторын реактив каскадын 1, 2 цэгийн хоорондох эсэргүүцэл нөлөөцийн шинжтэй байхын тулд",ойлгох,2
,Варикапын багтаамжийг өөрчилж давтамжийн модуляцтай дохиог хэлбэржүүлэх модуляторт өгөх .............. - ийг нам давтамжийн дохионы хуулиар  өөрчилнө.  ,ойлгох,2
,Давтамжийн модуляцтай дохиог детекторлох шууд бус аргын үед,ойлгох,2
,Агуургийн модуляторын статик характеристик гэдэг нь,ойлгох,2
,Давтамжийн модуляцтай дохиог импульсийн тооны модуляцид хувиргаж детекторлож байвал ,ойлгох,2
,BPSK  модуляторын схемийг ол.  ,ойлгох,2
, GMSK модуляцийн үед модуляцийн индекс нь ямар байх вэ? ,ойлгох,2
,Давтамж солих модуляцтай дохионы модуляцийн индекс ихсэх тусам ( T ffM F   / / 2 1 ),ойлгох,2
,"M түвшинт PSK, DPSK модуляциудын фазын хазайлтыг тодорхойл. ",ойлгох,2
,(1. 8PSK    2. 64QAM   3.QPSK   4. 16PSK) үед зөөгч ямар хугацаанд төлөвөө өөрчлөхгүй вэ? (анхдагч тоон дохионы импульсийн үргэлжлэл хэд дахин уртсах вэ?)   (тохируулах),ойлгох,2
,Дараах схемийн (5) цэг дээрх дохионы хэлбэрийг тодорхойл.,ойлгох,2
,Схемийг ол.  ,ойлгох,2
,Замын уртын модуляторын гаралтын дохионы хэлбэрийг (3) тодорхойл,ойлгох,2
, Тасалдуулал гэдэг нь ,ойлгох,2
,256 квантлалын түвшин бүхий дохиог кодлоход 8 битийн урттай 2-тын код шаардлагатай. Үүний ABC гэсэн 3 бит нь,ойлгох,2
,Тохируул. ,ойлгох,2
,ttS FM    тэгшитгэл бүхий давтамжийн модуляцтай дохиог варикапан модулятораар гарган авсан бол давтамжийн хамгийн бага өөрчлөлтийг ол.  ,ойлгох,2
,Тоон цуваа нь a(t)=111010001010 бол ФСМ (BPSK)-тай дохионы хугацааны диаграммыг тодорхойл.,хэрэглэх,3
,a(t)=100101111001 бол ХФСМ-ын дахин кодлуурын гаралтын цувааг тодорхойл.,хэрэглэх,3
,Харьцангуй фаз солих модуляторт a(t)=111010001010 тоон дохио өгөгдөж байгаа бол модуляцлагдсан дохионы хугацааны диаграммыг ол.,хэрэглэх,3
,Дараах схемийн гаралтанд гарах тоон цувааг тодорхойл.,хэрэглэх,3
,Дараах схемийн (4) цэгт гарах тоон цувааг тодорхойл,хэрэглэх,3
,a(t)=01 11 01 01 00 тоон дохиогоор 4 түвшинт харьцангуй фаз солих модуляц (DQPSK) хийсэн бол модуляцлагдсан дохионы хугацааны диаграммыг тодорхойлно уу.,хэрэглэх,3
,a(t)=111 001 011 100 тоон дохиогоор 8 түвшинт фаз солих модуляц (8PSK) хийсэн бол модуляцлагдсан дохионы хугацааны диаграммыг тодорхойлно уу.,хэрэглэх,3
,a(t)=010 001 101 111 тоон дохиогоор 8 түвшинт харьцангуй фаз солих модуляц (8DPSK) хийсэн бол модуляцлагдсан дохионы хугацааны диаграммыг тодорхойлно уу.,хэрэглэх,3
,- 1908 мВ тасалдалт утгыг ИКМ/PCM модуляц хийнэ үү.,хэрэглэх,3
,Модуляцлагдсан дохионы хугацааны диаграммыг зур.,хэрэглэх,3
, Модуляцийн гүн болон процентийг (%) тооцоол.,хэрэглэх,3
,Модуляцлагдсан дохионы спектр бүтэц ямар байхыг үзүүл. ,хэрэглэх,3
,"FM модуляцтай дохионы тэгшитгэл нь  ) 103sin100cos(6.0)( 3 0 t ttS FM   
 гэж өгөгдсөн бол зөөгч 
давтамжийг тодорхойл. MHz f 7 .6max гэж тооц.",хэрэглэх,3
,FM модуляцтай дохионы тэгшитгэл нь  ) 103sin100cos(6.0)( 3 0 t ttS FM   гэж өгөгдсөн бол зөөгч давтамжийг тодорхойл. MHz f 7 .6max гэж тооц.,хэрэглэх,3
,300кГц-ын зурвасын өргөнтэй FM модуляцтай дохионы модуляцийн индекс 100 бол нам давтамжийг тодорхойл.,хэрэглэх,3
,"S AM 53 103cos)106cos1()(  математик илэрхийлэл бүхий AM  модуляцтай дохионы B U 2 max  бол нам давтамжийн дохионы агууриг, модуляцийн гүнийг тодорхойл.",хэрэглэх,3
,15  нам давтамжийн дохиогоор t 410152sin65   зөөгч дохионд АМ модуляц хийсэн бол,хэрэглэх,3
,A(t)=3:1 тоон дохионы фурьегийн цувааны илэрхийллийг бичнэ үү.,хэрэглэх,3
,"A(t)=100 011 111 101 101 000 өгөгдсөн бол DPSK, DQPSK модуляцийн хугацааны диаграммыг зурна уу.",хэрэглэх,3
,"A(t)=100 011 111 101 101 000 өгөгдсөн бол QPSK, 8PSK модуляцийн хугацааны диаграммыг зурна уу.",хэрэглэх,3
,"A(t)=100 011 111 101 101 000 өгөгдсөн бол BPSK, 8DPSK модуляцийн хугацааны диаграммыг зурна уу.",хэрэглэх,3
,8-QAM модуляцтай дохионы агууриг-фазын төлөвийн диаграммаас (соnstallation) хугацааны диаграммыг зурна уу.,хэрэглэх,3
,Бичил долгионы цард хамаарах давтамжийн зурвас,Сэргээн санах,1
,Бичил долгионы идэвхигүй хэрэгсэл аль нь вэ?,Сэргээн санах,1
,Бичил долгионы идэвхигүй хэрэгсэл аль нь вэ?,Сэргээн санах,1
,TWT–ыг ажлын давтамжийн,Сэргээн санах,1
,Электроны шилжилттэй хэрэгслийн (Transferred electron devices) транзистороос ялгагдах гол онцлог,Сэргээн санах,1
,Электроны шилжилттэй хэрэгслийн (TED) ашигт үйлийн коэффициент .......... Их,Сэргээн санах,1
,Магнетрон ,Сэргээн санах,1
,Ферросоронзон материалыг өндөр давтамжийн хэлхээнд хэрэглэх үндсэн шинж чанар  ,Сэргээн санах,1
,Бичил долгионы хийцтэй хос туйлт транзисторын базын шүдний тоог олшруулснаар ,Сэргээн санах,1
,Хос туйлт транзистор дээр сэлгэн залгагч хийхийн тулд транзисторыг ,Сэргээн санах,1
,MESFET транзисторын n хагас дамжуулагч нь,Сэргээн санах,1
,Шугамаар зөвхөн ойсон долгион тархаэ байгаа үед ойлтын коэффициент ,Сэргээн санах,1
,Чадал хуваагч ба чиглүүлэн салаалагч ,Сэргээн санах,1
,Бичил долгионы цард шүүрийг ............. Хэрэгжүүлдэг,Сэргээн санах,1
,Хурдны модуляци,Сэргээн санах,1
,Магнетрон өндөр давтамжийн орон ба электрон цацрагын харилцан үйлчлэл,Сэргээн санах,1
,LSA диодын онцлог,Сэргээн санах,1
, HEMT транзисторын физик бүтэц,Сэргээн санах,1
,Транзисторын ажлын давтамж гаралтын чадал хязгаарлагдмал байдаг. Учир нь ,Сэргээн санах,1
,MOSFET транзисторын хийцийн онцлог ,Сэргээн санах,1
,Бүх портууд нь зохицоогүй 3 портын хэлхээний сарнилтын матрицыг [ S ] бич .......................,Сэргээн санах,1
,Ачааны эсэргүүцлийн идэвхит хэсэг RL шугамын характеристик эсэргүүцлээс Z0 бага үед зохицуулах хэлхээний схем,Сэргээн санах,1
,2 порттой хэлхээний S11 параметрийг ABCD параметрээр илэрхийлж бич .......................,Сэргээн санах,1
,Цуваа (Series stub) шлейфыг ашиглах тохиолдолд ачаанаас d зайд байрлах цэгийн шугамын бүрэн эсэргүүцэл Z0-jX бол,Сэргээн санах,1
,Beth Hole салаалагч,Сэргээн санах,1
,Дараах зурагт харуулсан хэлхээ нь ................,Сэргээн санах,1
,"Зурагт харуулсан 4 туйлт хэлхээний (50 омын характеристик эсэргүүцэлтэй, портууд зохицсон хэлхээ гэж үзнэ) S11 ба S21 параметрүүдийг ол",ойлгох,2
,Тууүан шугамын характеристик эсэргүүцлийг тодорхойлох илэрхийллийг бич. Жишээгээр тайлбарла.,ойлгох,2
,Гаралтын портууддаа 1:2 харьцаагаар чадал хуваадаг идэвхитэй эсэргүүцлийн Т (Resistive divider) хэлбэрийн чадал хуваагчийн тооцоог гарга. Үндсэн оролтын характеристик эсэргүүцлийг 200 ом гэж тооц,ойлгох,2
,"3дБ-н 90 градусын квадратур чадал хуваагчийн загварыг зурж, тооцоог хийж тайлбарла.",ойлгох,2
,"g1=0.517 g2=1.414 g3=1.932 g4=1.932 g5=1.414 g6=0.517 гэсэн 6-р эрэмбийн Баттервортын характеристиктай шүүрийн функцийн утгууд  өгөгдсөн бол 4ГГц давтамж дээр ажиллах 50 омын эсэргүүцэлтэй, нам давтамжийн шүүрийн эквивалент хэлхээний элементүүдийн утгуудыг (L’k, C’k) олж хэлхээг зур.",ойлгох,2
,"Шүүрийн огтлолын давтамж 3 МГц, шүүрийн эсэргүүцэл 50 ом, 3.15 МГц давтамжин дээр 10дБ унтралттай байх нийлмэл нам давтамжийн шүүрйин эквивалент хэлхээг параметрийн аргаар тооцоолно уу.",ойлгох,2
,"0.0762 см тусгаарлагчийн зузаантай, харьцангуй диэлектрик нэвтрэх чадвар Er=2.2 байх бичил туузан шугамаар 100 омын характеристик эсэргүүцэлтэй, дамжууллын шугамыг шугамын алдагдал тооцохгүйгээр үүсгэсэн гэж үзье. 2.5 ГГц давтамж дээр шугамын оролтын нөлөөмж нь 5нГн байх нөхцөлийг хангах шугамын уртыг ол. Дамжуулагчыг зэсээр хийсэн ба tanδ=0.001 гэж үзнэ.",ойлгох,2
,ZL=200+j100 Ω ачааны эсэргүүцлийг 1ГГц давтамж дээр 100 Ω-ын характеристик эсэргүүцэлтэй шугамтай зохицуулан холбох нэг LC зохицуулах хэлхээг Смиттын диаграмм ашиглаж бод.,ойлгох,2
,ZL=200+j100 Ω ачааны эсэргүүцлийг 500MHz давтамж дээр 50Ω-ын характеристик эсэргүүцэлтэй шугамд холбосон бол,ойлгох,2
,"Салаалтын коэффициент C=7дБ, байх 90 градусын гибрид салаалагчийн тооцоог хийнэ үү. Энэ үед ажлын давтамж f=2 ГГц, бичил туузан шугамын тусгаарлагч суурийн диэлектрик нэвтрэх чадварыг εr=2.2, диэлектрик суурийн зузааныг H=0.158 см гэж үзнэ",ойлгох,2
,3-р түвшний 5-р бодлогоор бодож олсон нам давтамжийн шүүрийн LC элементүүдийн утгаар хэрэгжих алхамт эсэргүүцлэн нам давтамжийн шүүрийн хэрэгжүүлэлтийн тооцоог хийнэ үү. Шүүрийн хэлбэрийн жишээ зургийг дор харууллаа.,ойлгох,2
,Дараах графикийг байгуулах программыг сонгоно уу. ,ойлгох,2
,Дараах графикийг байгуулах программыг сонгоно уу.,ойлгох,2
,0 ≤ 𝑥 ≤ 5  завсарт 100 утга авах,ойлгох,2
,𝑒2𝑥 –г илэрхийлэх кодыг,ойлгох,2
,∫ 𝑒𝑥2 3/2 1/2 –ийн кодыг сонгоно уу.,ойлгох,2
,Дараах графикийг байгуулах программыг сонгоно уу.,ойлгох,2
,0-ээс 100 хүртэлх утгаар 3 алхамтайгаар вектор үүсгэ.,ойлгох,2
,ans = 1.00    1.57    2.14    2.71    3.28    3.85    4.42    5.00 –ын командыг сонгоно уу.,ойлгох,2
,График байгуулах командыг сонгоно уу.,ойлгох,2
,figure цонхыг 4 хуваасны 3-р байрлалд график байгуулах.,ойлгох,2
,  Matlab-д анимшн хийдэг командыг сонгоно уу.,ойлгох,2
,. x=[1 2 3 6 8 5] –ийн ans = 1     4     9    36    64    25 бол командыг сонгоно уу.,ойлгох,2
,графикийн х тэнхлэгийг “t-ээс хамаарсан” гэж нэрлэх. ,ойлгох,2
,sum(x)-ын  ans = 15   15    15  бол “х”-г олно уу.,ойлгох,2
,max(x)-ын  ans = 15   32    35   бол “х”-г олно уу.,ойлгох,2
,min(x)  ans = 2     3     4      бол “х”-г олно уу.,ойлгох,2
,"Гурван мөр, 5 баганатай жигд тархалттай санамсаргүй тооноос бүрдсэн матриц үүсгэ.",ойлгох,2
,sum(y)  ans = 33 бол “y”-г олно уу,ойлгох,2
,floor(x)  ans =  -2    -1     3     5     7   бол “x”-г олно уу,ойлгох,2
,. ceil(x)  ans =  -3     3     5   бол “x”-г олно уу.,ойлгох,2
,fix(x)  ans = 2     3     4    -2  бол “x”-г олно уу.,ойлгох,2
,round(x)  ans = 3     3     3     7  бол “x”-г олно уу.,ойлгох,2
,"mod(18,5)  бол зөв хариултыг ол",ойлгох,2
,"A=[8 1 6;3 5 7;4 9 2] өгөгдсөн. circshift(A,2)  бол зөв хариуг ол.",ойлгох,2
,"A=[12 3 6;7 5 9;11 1 4]; circshift(A,[2,1])  бол зөв хариуг ол",ойлгох,2
,систем тэгшитгэлийн шийдийг ол. ,ойлгох,2
,𝑠6 +9𝑠5 +31.25𝑠4 +61.25𝑠3 +67.75𝑠2 +14.75𝑠 +15  олон гишүүнтийн язгуурыг ол.,ойлгох,2
, Дурын утганд температурыг хөрвүүлэх. (C to F) ,ойлгох,2
,Олон гишүүнтийн язгуурууд нь ….....бол олон гишүүнтийг ол.,ойлгох,2
,Давтамжаараа модуляцлагдсан дохио үүсгэх програм бичнэ үү.,ойлгох,2
,0 ≤ 𝑥 ≤ 4𝜋  засварт 100 утга сонгоод  𝑦 = 𝑒−0.4𝑥sin(𝑥) функцын графикийг тасархай улаан шугамаар байгуулах,ойлгох,2
,𝑦 = sin⁡ (𝑥)  ба  𝑦 = sin⁡ (𝑥 + 3 2𝜋)  дохионуудыг нэмэх загварыг симулинкийн блокуудыг ашиглан зур.,ойлгох,2
,1-ээс N тооны нийлбэрийг олох программ бич.,ойлгох,2
,"100 баллын үнэлгээг  A,B,C,D үнэлгээгээр илэрхийл.",ойлгох,2
,“type text” нүдэнд гараас дурын техт оруулахад “text1”-д хэвлэгдэж гарах code-г бич. (Property inspector-г харуулсан байгаа),ойлгох,2
,Гадны өрнүүлэлттэй генератор нь юу юунаас бүрдэх вэ?,ойлгох,2
,Логарифмаар үелсэн антенны төсжлийн коэффицентийг ямар томъёогоор олох вэ? ,ойлгох,2
,Тэгш хэмт вибраторын цацаргалтын эсэргүүцлийг ямар томъёогоор олох вэ?,ойлгох,2
,Тэгш хэмт вибраторын чиглүүлгийн коэффицентийг ямар томъёогоор олох вэ?,ойлгох,2
,Тэгш хэмгүй вибраторын оролтын эсэргүүцлийг ямар томъёогоор олох вэ?,ойлгох,2
,Тэгш хэмт вибраторын үйлчлэгч өндрийг ямар томъёогоор олох вэ,ойлгох,2
,Дифракцийн антенны зөв ангиллыг ол.,ойлгох,2
, Долгион хөтлүүрийг хийцээр нь хэд ангилдаг вэ?,ойлгох,2
,Долгион хөтлүүрийн хөндлөн долгионы тоог ямар томъёогоор олдог вэ?,ойлгох,2
,Синфазтай антенны ашигтай талбайг ямар томъёогоор олох вэ,ойлгох,2
,Толин антенн хэдэн хэсгээс тогтох вэ? ,Сэргээн санах,1
,Урт дунд долгионы цараанд антенны өндрийг яаж сонговол хамгийн тохиромжтой вэ? ,Сэргээн санах,1
,Федингийн үзэгдэл ямар нөлөөтэй вэ?,Сэргээн санах,1
,"Хөндлөн металл хоолойгоор цахилгаан соронзон долгион дамжуулах онолыг хэн, хэдэн онд боловсруулсан бэ? ",Сэргээн санах,1
,Антеннд нэмэлт тохиргоо хийхгүйгээр fmin-ээс fmax хүртэл ажиллаж байна гэвэл fmax/fmin-г ажлын диапазоны харьцангуй өргөн гэнэ. Үүнийг яаж тэмдэглэдэг вэ? ,Сэргээн санах,1
,Цахилгаан соронзон долгионы энергийг генератороос хөтлүүрт шилжүүлэх процессыг ...... Гэнэ,Сэргээн санах,1
,"Чиглүүлэн цацаргах чадвар сайтай, хажуугийн цацаргалтын хэмжээ аль болох бага, чиглэл нь 50-90° хооронд байхаар төсөөлж хийсэн антенныг …… антенн гэнэ.",Сэргээн санах,1
,Долгионы хүлээн авч байгаа цэгт цахилгаан ба соронзон орны хүчлэг векторын утга өөрчлөгддөг. Энэ үзэгдлийг ……. гэнэ.,Сэргээн санах,1
,Цахилгаан соронзон долгион цацаргах зорилгоор 1 шугаман дээр байрласан ижилхэн урттай 2 дамжуулагчийг …….. гэнэ.,Сэргээн санах,1
,Сүүлийн жилүүдэд ямар технологитой систем түргэн хөгжиж байгаа вэ,Сэргээн санах,1
, Энэ системд цайлтын  ба өнгө ялгаврын дохиог хугацаагаар нягтруулж дамжуулдаг бол доорхоос аль нь вэ,Сэргээн санах,1
,Тоон системд дохионы чанарыг юугаар илэрхийлдэг вэ ?,Сэргээн санах,1
,Радио цонх хэдээс хэдэн герцийн давтамжийн хооронд үүсдэг вэ? Радио цонх хэдээс хэдэн герцийн давтамжийн хооронд үүсдэг вэ? ,Сэргээн санах,1
,Аль нь үл хөдлөх тойрог зам бэ? ,Сэргээн санах,1
,Монгол улс дэлхийн цахилгаан холбооны байгууллагаас гаргасан радио давтамжийн цар ашиглалтын хэддүгээр бүсэд ордог вэ? ,Сэргээн санах,1
,.................. нь радио ба хяналтын хэсэгтэй.,Сэргээн санах,1
, Хэдэн он хүртэл аналоги дохиог тоон дохионд хувиргах хамгийн оновчтой арга гараагүй байсан бэ? ,Сэргээн санах,1
,Бага шуугианы өсгүүр үндсэн хэдэн төрөлтэй байдаг вэ ? ,Сэргээн санах,1
,Аль модуляцийг радио релейний системд хэрэглэх боломжгүй вэ,Сэргээн санах,1
,Динамик диапазон гэж юу вэ?,Сэргээн санах,1
,Дохиог антенн руу хамгийн бага алдагдалтайгаар дамжуулах үүрэгтэй төхөөрөмж аль вэ? ,Сэргээн санах,1
,Аль нь завсрын давтамжтай дохиог радио давтамжтай дохионд хувиргадаг вэ ?,Сэргээн санах,1
, Радио цонхонд ямар зурвасууд орох вэ?,Сэргээн санах,1
, Өндөр хурдтай тоон мэдээллийг алс зайд дамжуулахад ашигладаг давтамж аль вэ? ,Сэргээн санах,1
,"Антенн, хүлээн авагч хоёрыг холбогч шугамыг ................ гэнэ.",Сэргээн санах,1
,Хэт богино долгионы шууд харалтын зайг тодорхойлсон томъёо аль нь вэ? ,Сэргээн санах,1
,Критик давтамжийг зөв тодорхойлсныг ол? ,Сэргээн санах,1
,Богино долгионы цараанд ажлын оновчтой давтамжийг ............ гэнэ ,Сэргээн санах,1
,Дэлхийн бөмбөрцгийн богино долгион нэг удаа тойрсон тохиолдолд үндсэн долгионоос хожигдох хугацаа ямар байдаг вэ?,Сэргээн санах,1
,Ионосферт богино долгион тархах үед үүсэх энергийн шингээлтийг тооцоход ордог “ ”  хэмжигдэхүүний томъёог ол. ,Сэргээн санах,1
,Ионжих процессыг ................................. үүсгэдэг. ,Сэргээн санах,1
,Хасах ион гэдэг нь ................................................... байна. ,Сэргээн санах,1
,Нейтросферийг зөв тодорхойлсныг ол? ,Сэргээн санах,1
,Тропосферийн реферакцийг тооцох хялбарчилсан аргыг хэдэн онд нээсэн бэ? ,Сэргээн санах,1
,Радио долгион тархах явцад түүний энергийн ихэнх хэсэг нь тархаж буй мужийг ....................... гэнэ.  ,Сэргээн санах,1
,Хүлээн авах антенны ашигтай хөндлөн огтлолын талбай түүний чиглэлийн     коэффициент хоёрын хамаарал аль нь вэ? ,Сэргээн санах,1
,Радио долгионыг тархах онцлогоор нь хэд ангилдаг вэ?,Сэргээн санах,1
,Гурвалжин загвараар үүр зохион байгуулагдсан үед ачааллын хэмжээ өсөн нэмэгдэж сувгийн багтаамж хангагдахгүй болсон үед зургаан талтад шилжүүлж болдог. Энэ нь дараахын алинд тохиорох вэ? ,Сэргээн санах,1
,"Газар нутгийн нэгэн хэсэгт нэг бүлэг давтамж ашиглагдаж, түүнтэй зэргэлдээ үүрүүдэд түүнээс ялгаатай бүлэг давтамж ашиглах зарчимд аль нь нийцэх вэ?",Сэргээн санах,1
,Ямар нэг саад шууд дамжууллыг хаах үед цуурайнууд нь цуурай биш анхны        шууд дамжуулал болж очно. Эсрэг интерференц нь хүлээн авсан дохионы агуургийг багасгадаг гэвэл бүр агууриггүй болгодог. ,Сэргээн санах,1
,Дараахыг тохируул. ,Сэргээн санах,1
,Дараахыг тохируул. /Үүрэн хөдөлгөөнт холбооны хувьд/ ,Сэргээн санах,1
,Утасгүй холбооны системийн сүлжээ нь аль аль дэд системүүдээс бүрдэх вэ,Сэргээн санах,1
,GPS-н дохио нь мэдээний ямар ямар битээс тогтох вэ,Сэргээн санах,1
,"Аль нь анодын модуляцтай хамтарч урт, богино долгионы РӨН-н станцуудад өргөн ашигллагддаг вэ?",Сэргээн санах,1
, Кварцан резонатор гэдэг нь  ,Сэргээн санах,1
,"Global star систем нь хэдэн хиймэл дагуул, хэдэн тойрог замтай вэ? ",Сэргээн санах,1
,FM радио телевиз ямар радио долгионы цараанд тархдаг вэ?,ойлгох,2
,1ГГц давтамжин дээр ажиллах хагас долгионы диполь антенны  Диполь антенны уртыг ол,ойлгох,2
,Хэрвээ диполь антенныг монопол антеннаар орлуулбал монопол антенны уртыг ол ,ойлгох,2
,Нэвтрүүлэгчийн чадал 10W бөгөөд нэвтрүүлэгчээс 1км зайд      утгыг тооцоолно уу.,ойлгох,2
,10 ГГц давтамж дээр ажиллаж байгаа парабол антенны диаметр 1м.   0.55 бол  Антенны өсгөлтийг dB-р ол,ойлгох,2
,Антенны өсгөлтийг dB-р ол,ойлгох,2
,Антенны өсгөлтийг dB-р ол,ойлгох,2
,Антеннаас 100м зайд хамгийн их чадлыг ол,Сэргээн санах,1
,РӨН найдваржилтанд нөлөөлөх хүчин зүйлүүдийг нэрлэнэ үү? ,Сэргээн санах,1
,Бичил долгионы давтамжийн цар хэдээс хэдийн хооронд байдаг вэ?,Сэргээн санах,1
,Изотроп цацаргалтын талаар тайлбарлана уу?,ойлгох,2
,"Гурван порттой чадал хуваагчийн алдагдал (IL)=0,5дБ байна. Хэрвээ оролтын чадал нь Р1=0дБм бол аль нэг гаралтын портон дээрхи чадлыг милливатт болон дБм-р илэрхийл.",ойлгох,2
,"10 дБ-н чиглэлтэй салаалагчийг үзүүлэв. Энэ салаалагчийн чиглүүлэгч нь 30дБ. Хэрэв оролтын чадал нь P1=10мВт бол гаралтын чадал 2, 3 ба 4 –р портуудын гаралтын чадлыг тооцоол. Салаалагчийг алдагдалгүй гэж үзнэ.",ойлгох,2
,"Давтамж холигчийн   алдагдал  4.17дБ байх бөгөөд RF LO тусгаарлалт 20дБ байна.Хэрэв оролтын хүчдэл 0dБм, LO сувагруу орох  гаралтын хүчдэлийн IF  RF хүчдэл ямар байх вэ?",ойлгох,2
